Rank,Title,Studio,Lifetime Gross,Theatres,Opening,Theatres,Date
1,It,WB (NL),325886434,4148,123403419,4103,09/08/2017
2,The Exorcist,WB,232906145,0,0,0,12/26/1973
3,Get Out,Uni.,175484140,3143,33377060,2781,2/24/2017
4,The Blair Witch Project,Art.,140539099,2538,1512054,27,7/16/1999
5,The Conjuring,WB (NL),137400141,3115,41855326,2903,7/19/2013
6,Paranormal Activity,Par.,107918810,2712,77873,12,9/25/2009
7,Interview with the Vampire,WB,105264608,2604,36389705,2604,11/11/1994
8,Paranormal Activity 3,Par.,104028807,3329,52568183,3321,10/21/2011
9,Scream,Dim.,103046663,1994,6354586,1413,12/20/1996
10,The Conjuring 2,WB (NL),102470008,3356,40406314,3343,06/10/2016
11,Annabelle: Creation,WB (NL),102092201,3565,35006404,3502,08/11/2017
12,Scream 2,Dim.,101363301,2688,32926342,2663,12/12/1997
13,Sleepy Hollow,Par.,101071502,3069,30060467,3064,11/19/1999
14,Don't Breathe,SGem,89217875,3384,26411706,3051,8/26/2016
15,Scream 3,Dim.,89143175,3467,34713342,3467,02/04/2000
16,Saw II,Lions,87039965,2949,31725652,2949,10/28/2005
17,The Amityville Horror,AIP,86432000,748,7843467,748,7/27/1979
18,Aliens,Fox,85160248,1454,10052042,1437,7/18/1986
19,Paranormal Activity 2,Par.,84752907,3239,40678424,3216,10/22/2010
20,Annabelle,WB (NL),84273813,3215,37134255,3185,10/03/2014
21,Freddy Vs. Jason,NL,82622655,3014,36428066,3014,8/15/2003
22,Bram Stoker's Dracula,Col.,82522790,2491,30521679,2491,11/13/1992
23,Blade II,NL,82348319,2707,32528016,2707,3/22/2002
24,Alien,Fox,80931801,757,3527881,91,5/25/1979
25,Alien: The Director's Cut,Fox,80931801,347,1023665,347,10/29/2003
26,The Texas Chainsaw Massacre,NL,80571655,3018,28094014,3016,10/17/2003
27,Saw III,LGF,80238724,3167,33610391,3167,10/27/2006
28,Constantine,WB,75976178,3006,29769098,3006,2/18/2005
29,Zombieland,Sony,75590286,3171,24733155,3036,10/02/2009
30,Alien: Covenant,Fox,74262031,3772,36160621,3761,5/19/2017
